Method,Domain,Artifact text,Score
basic,joke,"Why did the spreadsheet apply for a job promotion?

Because it wanted to excel in its field!",58.33333333
basic,joke,"Why did the robot break up with its Roomba?

Because it couldn’t handle all the sweeping changes!",75
basic,joke,"Why don't scientists trust atoms anymore? Because they make up everything, then suddenly bond with strangers when under pressure!",58.33333333
basic,joke,"Why did the introverted skeleton keep to himself at the Halloween party? 

He just couldn't find the guts to mingle!",58.33333333
basic,joke,"Why did the mathematician plant a garden?

Because he wanted to grow square roots!",58.33333333
basic,joke,"Why did the smartphone break up with the charger?  

Because it couldn’t handle the constant plug-ins and needed some space!",58.33333333
basic,joke,"Why did the photon refuse to pack a suitcase for its trip?

It heard there was no charge for extra baggage!",75
basic,joke,"Why did the robot get kicked out of the poetry club?

It couldn't stop speaking in byte-verse!",75
basic,joke,"Why did the smartphone break up with the charger?

It felt like it was always plugged into drama!",58.33333333
basic,joke,Why did the quantum physicist become a stand-up comedian? Because he heard laughter is both a wave and a particle!,58.33333333
basic,poem,"In the hush of twilight's veil,  
Whispers dance on evening's gale.  
Stars awaken, soft and bright,  
Guiding dreams through silent night.  

Moonlight spills on silver streams,  
Weaving threads of silent dreams.  
In the shadowed woods, the trees  
Hum the lullabies of breeze.  

In this quiet, still and deep,  
The world prepares for gentle sleep.  
Cradled by the night's embrace,  
Finds its peace, its sacred space.  ",58.33333333
basic,poem,"In the quiet of the morning light,  
Whispers dance on dewdrops bright.  
Leaves converse in gentle breeze,  
Sharing secrets with the trees.  

A brook hums softly, tales untold,  
As sunbeams paint the world in gold.  
Nature's symphony unfolds anew,  
A melody of dawn's first hue.  

In this serene and waking hour,  
Life blooms in every leaf and flower.  
Time stands still, a fleeting grace,  
In the heart of this tranquil place.  ",58.33333333
basic,poem,"In the hush of twilight's glow,  
Whispers dance where shadows go.  
Leaves converse in silent breeze,  
Secrets held by ancient trees.  

Stars emerge, a gentle choir,  
Lighting dreams with silver fire.  
Moonlight weaves its tender lace,  
Wrapping night in soft embrace.  

Hearts find peace in evening's song,  
Where moments short and dreams are long.  
In the quiet, truth is spun,  
Till dawn unveils a world begun.  ",58.33333333
basic,poem,"In the hush of twilight's grace,  
Whispers float through amber space,  
Leaves like whispers gently fall,  
Painting shadows on the wall.  

Stars awake in velvet skies,  
Winking tales to distant eyes,  
Night wraps all in tender shroud,  
Dreams aloft on moonlit cloud.  

Through the silence, echoes sing,  
Promises of spring they bring,  
In this dance of night and day,  
Restless hearts find peace and stay.  ",58.33333333
basic,poem,"In the hush of twilight's breath,  
Whispers dance on fading light,  
Stars awaken from their rest,  
Guiding dreams into the night.  

Leaves converse in gentle breeze,  
Secrets shared beneath the moon,  
Time surrenders, moments freeze,  
As night croons its ancient tune.  

Hearts find solace in the dark,  
Silhouettes of hope and fear,  
In the vast celestial arc,  
Silent echoes draw us near.  ",58.33333333
basic,poem,"In the hush of autumn's sigh,  
Leaves like whispers flutter by.  
Golden threads in crisp air dance,  
Nature's quiet, fleeting glance.  

Sunset weaves a rosy seam,  
Rivers hum a twilight dream.  
In the stillness, shadows play,  
As the night absorbs the day.  

Heartbeats mimic rustling trees,  
Carried on the gentle breeze.  
In this moment, soft and small,  
Find the wonder in it all.  ",66.66666667
basic,poem,"In the whisper of dawn's gentle sigh,  
Where shadows stretch, and dreams fly by,  
A river of light in soft embrace,  
Carries secrets of the night's grace.  
  
Leaves rustle tales in the morning's hue,  
Of stars that danced in skies of blue.  
Awake, the world in silent tune,  
Echoes the night’s retreating moon.  
  
Between the sun and fading night,  
Rests the heart of day's first light.  
In this moment, brief and bright,  
The world's reborn in morning's flight.  ",58.33333333
basic,poem,"In the quiet of the moon's soft glow,  
Whispers of the night begin to flow.  
Stars, like dreams, in silence drift,  
Through the sky, a celestial gift.  

Trees sway gently, in the breeze's embrace,  
While shadows dance, a fleeting trace.  
Crickets sing an ancient tune,  
Underneath the watchful moon.  

Time slows down in night's embrace,  
As the world finds its gentle place.  
In this stillness, hearts may find,  
A moment of peace, a haven of mind.",58.33333333
basic,poem,"Beneath the whispering canopy,  
Where shadows dance in twilight's glow,  
The river hums a gentle plea,  
As evening paints the world below.  

The stars emerge, a scattered choir,  
Their silence deep, their voices bright,  
While crickets tune their strings of fire,  
And serenade the coming night.  

In this embrace of earth and sky,  
Where dreams and echoes intertwine,  
We find a peace we can't deny,  
A fleeting glimpse of the divine.  ",66.66666667
basic,poem,"In the garden's hush, at close of day,  
Whispers of the night begin their play.  
Moonlight spills on petals pure,  
In silver dreams, their hearts assure.  

Stars weave tales in the velvet sky,  
While soft winds carry lullabies.  
Crickets sing a gentle tune,  
Beneath the watchful, glowing moon.  

In this realm of shadowed grace,  
Time stands still, a tender embrace.  
Nature's breath, a quiet art,  
Stirs the soul, and heals the heart.",58.33333333
basic,six-word story,Lost keys found; wrong house entered.,75
basic,six-word story,Lighthouse abandoned; waves whisper forgotten secrets.,83.33333333
basic,six-word story,Shadows stretched; sunrise revealed hidden secrets.,75
basic,six-word story,"Abandoned kite, tangled dreams in trees.",75
basic,six-word story,"Lost map, empty compass, endless journey.",83.33333333
basic,six-word story,"Lost map, found destiny in chaos.",75
basic,six-word story,Abandoned suitcase whispered secrets of adventures.,75
basic,six-word story,Forgotten dreams whispered through closed windows.,83.33333333
basic,six-word story,Lighthouse stood; waves claimed the village.,83.33333333
basic,six-word story,Sunset whispers secrets only night understands.,75
basic,flash fiction,"On the eve of the annual Lantern Festival, young Elara discovered a peculiar key hidden beneath a loose floorboard in her attic. Intrigued, she slipped it into her pocket, its cool metal a comforting weight.

As darkness fell, the town square shimmered with golden lanterns. Elara meandered through the crowd until she found herself drawn to an ancient oak at the edge of the village. Hidden in its gnarled roots was a small, inconspicuous lock.

Heart pounding, she inserted the key. The lock clicked, and the earth rumbled softly. Before her, a passageway unfurled, bathed in a gentle, otherworldly glow. Drawn by an inexplicable pull, Elara stepped in.

Inside, a realm of floating lanterns and soft whispers welcomed her. They spoke of dreams, untold stories, and forgotten hopes. Entranced, Elara wandered deeper, each step a promise of wonder.

At dawn, the villagers found only the key, resting atop a patch of dew-kissed grass. Elara had become a legend, a guardian of dreams.",58.33333333
basic,flash fiction,"In the heart of an ancient forest, where sunlight danced through the dense canopy, a peculiar clock sat nestled among the roots of a towering oak. It was unlike any timepiece Marcus had seen, with its copper gears exposed and a single, blue hand ticking backward.

Curiosity drew him to it every evening, and each time he turned the clock's key, moments from his past slipped gently back into place. The first time, he relived the laughter of his childhood, echoing like distant music. The second, his grandmother's embrace enfolded him, fragrant with lavender.

One day, he discovered a tarnished inscription: ""One last turn renews the start."" Intrigued, Marcus wound it again, hoping to revisit his greatest loves. The forest shimmered, and suddenly, he was a boy beneath the oak, cradling the mysterious clock.

But this time, the hand froze, and Marcus realized he wasn't revisiting the past; he was part of it, forever woven into the tapestry of this enchanted grove.",75
basic,flash fiction,"In the bustling heart of the city, where skyscrapers kissed the sky, there lived a woman named Lydia who collected silences. Each morning, she ventured through the crowded streets with a small glass jar, invisible to the unseeing eyes of passersby.

Lydia would pause at a park where children laughed, capturing the fleeting moment of quiet before a giggle erupted. She would stop at busy intersections, waiting for the briefest lull between honks and shouts. With a delicate twist, she'd seal these precious silences in her jar.

One night, the city plunged into an uncharacteristic blackout. Panic ensued, but Lydia sat on her rooftop, unscrewing one jar after another. As each silence escaped, it wove through the chaos, calming the clamor.

By dawn, the city was transformed. People awoke to an unfamiliar tranquility, as if the metropolis itself had taken a gentle breath. Lydia smiled, for she knew the secret: sometimes, what a city needs most is not more noise, but the quiet between it.",83.33333333
